Suburb,Rooms,Type,Price,Year,Distance,CouncilArea
ABBOTSFORD,3,h,1490000,2017,3,Yarra City Council
ABBOTSFORD,3,h,1220000,2017,3,Yarra City Council
ABBOTSFORD,3,h,1420000,2017,3,Yarra City Council
ABERFELDIE,3,h,1515000,2017,7,Moonee Valley City Council
AIRPORT WEST,2,h,670000,2017,10,Moonee Valley City Council
AIRPORT WEST,2,t,530000,2017,10,Moonee Valley City Council
AIRPORT WEST,2,u,540000,2017,10,Moonee Valley City Council
AIRPORT WEST,3,h,715000,2017,10,Moonee Valley City Council
ALBERT PARK,3,h,1925000,2017,3,Port Phillip City Council
ALBION,3,u,515000,2017,10,Brimbank City Council
ALBION,4,h,717000,2017,10,Brimbank City Council
ALPHINGTON,2,h,1675000,2017,5,Darebin City Council
ALPHINGTON,4,h,2008000,2017,5,Darebin City Council
ALTONA,2,h,860000,2017,11,Hobsons Bay City Council
ALTONA NORTH,3,h,720000,2017,9,Hobsons Bay City Council
ARMADALE,2,u,836000,2017,6,Stonnington City Council
ARMADALE,2,h,2110000,2017,6,Stonnington City Council
ARMADALE,3,h,1386000,2017,6,Stonnington City Council
ARMADALE,2,u,580000,2017,6,Stonnington City Council
ARMADALE,1,u,355000,2017,6,Stonnington City Council
ASCOT VALE,3,h,1123100,2017,4,Moonee Valley City Council
ASHBURTON,3,u,1270000,2017,10,Boroondara City Council
ASHBURTON,3,t,1610000,2017,10,Boroondara City Council
ASHWOOD,4,h,1435000,2017,10,Monash City Council
ASPENDALE,4,h,1431000,2017,21,Kingston City Council
ASPENDALE GARDENS,4,h,996000,2017,21,Kingston City Council
AVONDALE HEIGHTS,4,h,825000,2017,9,Moonee Valley City Council
BALWYN,2,u,660800,2017,7,Boroondara City Council
BALWYN,2,t,700000,2017,7,Boroondara City Council
BALWYN,5,h,2700000,2017,7,Boroondara City Council
BALWYN,3,h,2035000,2017,7,Boroondara City Council
BALWYN,3,u,955000,2017,7,Boroondara City Council
BALWYN,4,h,1810000,2017,7,Boroondara City Council
BALWYN NORTH,4,h,1850000,2017,9,Boroondara City Council
BALWYN NORTH,4,h,2600000,2017,9,Boroondara City Council
BALWYN NORTH,3,h,1220000,2017,9,Boroondara City Council
BALWYN NORTH,4,h,2470000,2017,9,Boroondara City Council
BALWYN NORTH,2,u,800000,2017,9,Boroondara City Council
BAYSWATER NORTH,4,h,880000,2017,23,Maroondah City Council
BEAUMARIS,4,h,1285000,2017,17,Bayside City Council
BEAUMARIS,2,u,835000,2017,17,Bayside City Council
BEAUMARIS,4,h,1445000,2017,17,Bayside City Council
BEAUMARIS,4,h,1435000,2017,17,Bayside City Council
BELLFIELD,3,u,675000,2017,8,Banyule City Council
BENTLEIGH,4,t,1300000,2017,11,Glen Eira City Council
